PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,principal_variation,sparring_full_pv_probs,sparring_full_model_moves,sparring_wdl,branch_1,branch_2,branch_1_probs,branch_2_probs,full_model_moves,full_pv_probs,corrupted_fen
ELtwP,6k1/5p1p/1Q2p1pq/3pP3/5P2/5R1P/2Pn2PK/8 w - - 2 38,f3g3 d2f1 h2g1 f1g3,1133,78,59,130,crushing endgame fork short,https://lichess.org/xTCJMtaN#74,,"['d2f1', 'h2g1', 'f1g3']","[0.48533427715301514, 0.8609512448310852, 0.8175053596496582]","['d2f1', 'h2g1', 'f1g3']","[0.004678475204855204, 0.9896935820579529, 0.005627993028610945]","['h6f4', 'b6d8', 'g8g7']","['d2f1', 'h2g1', 'f1g3']","[0.5973644256591797, 0.8874818682670593, 1.0]","[0.35916200280189514, 0.9109910726547241, 0.9553618431091309]","['h6f4', 'b6d8', 'g8g7']","[0.35916200280189514, 0.9109910726547241, 0.9553618431091309]",6k1/5ppp/1Q2p1pq/3pP3/5P2/6RP/2Pn2PK/8 b - - 3 38
EME3V,6rk/2RR2p1/5pQp/p3p2P/8/8/1r2qnPK/8 b - - 1 39,f2e4 g6h6 g7h6 d7h7,1723,74,92,694,mate mateIn2 middlegame sacrifice short,https://lichess.org/4AOqnxjf/black#77,,"['g6h6', 'g7h6', 'd7h7']","[0.004210018552839756, 1.0, 0.9117509126663208]","['d7g7', 'g7h6', 'd7h7']","[0.002580739790573716, 0.9895176291465759, 0.007901685312390327]","['g6h6', 'g7h6', 'd7h7']","['d7g7', 'e2g2', 'g6g2']","[0.5037949085235596, 1.0, 0.9117513298988342]","[0.3409667909145355, 0.851557195186615, 1.0]","['g6h6', 'g7h6', 'd7h7']","[0.5037949085235596, 1.0, 0.9117513298988342]",6rk/2RR2p1/4KpQp/p3p2P/4n3/8/1r2q1P1/8 w - - 2 40
EMrIm,r1b2rk1/1p3p2/p1n1p1p1/8/3qN3/P2B1Q2/1P3PP1/R3K2R b KQ - 1 17,c6e5 e4f6 g8g7 h1h7,1302,75,94,587,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/OdYiZ5vD/black#33,Queens_Gambit_Declined Queens_Gambit_Declined_Other_variations,"['e4f6', 'g8g7', 'h1h7']","[0.21452216804027557, 1.0, 0.5814285278320312]","['f3h3', 'g8g7', 'h1h7']","[0.04302164539694786, 0.9464401006698608, 0.01053827814757824]","['e4f6', 'g8g7', 'h1h7']","['f3h3', 'e5d3', 'e1f1']","[0.37652382254600525, 1.0, 0.8626543879508972]","[0.3046169877052307, 0.9295841455459595, 0.9296832084655762]","['e4f6', 'g8g7', 'h1h7']","[0.37652382254600525, 1.0, 0.8626543879508972]",r4rk1/1p3p2/p3p1p1/4n3/3qN3/P2B1Q2/1P2bPP1/R3K2R w KQ - 2 18
ENO3W,r5k1/p6p/1qp2rp1/8/3p4/8/PPN3PP/R1BQ2K1 w - - 0 20,d1d4 a8d8 c1e3 d8d4,2138,75,95,354,middlegame,https://lichess.org/tjb3wJNf#38,,"['a8d8', 'c1e3', 'd8d4']","[0.11360306292772293, 0.5074385404586792, 0.513640820980072]","['a8f8', 'c1e3', 'd8d4']","[0.021412566304206848, 0.8757381439208984, 0.10284934937953949]","['a8d8', 'c1e3', 'd8d4']","['f6d6', 'd4b6', 'd6d1']","[0.449745774269104, 0.8639839887619019, 0.87587970495224]","[0.32258403301239014, 0.8289241790771484, 0.7611352205276489]","['a8d8', 'c1e3', 'd8d4']","[0.449745774269104, 0.8639839887619019, 0.87587970495224]",r5k1/p6p/1qp2rp1/8/8/4Q3/PPN3PP/R1B3K1 b - - 0 20
ERqQG,1rkr4/5QRp/p1pbp2P/8/2qPP3/2p1B1P1/P4P2/R3K3 w Q - 15 34,d4d5 b8b2 f7e6 c8b8,2460,87,83,95,crushing master middlegame short,https://lichess.org/Tmyx443t#66,,"['b8b2', 'f7e6', 'c8b8']","[0.31831762194633484, 0.4696878492832184, 0.9378912448883057]","['b8b2', 'f7e6', 'c8b8']","[0.002613938180729747, 0.9934508800506592, 0.003935149405151606]","['c4e4', 'f7e6', 'e4e6']","['b8b2', 'f7e6', 'c8b8']","[0.5200379490852356, 0.8889103531837463, 0.9831006526947021]","[0.40189144015312195, 0.7237648963928223, 0.9904036521911621]","['c4e4', 'f7e6', 'e4e6']","[0.40189144015312195, 0.7237648963928223, 0.9904036521911621]",1rkr4/5QRp/p1p1p2P/3Pb3/2q1P3/2p1B1P1/P4P2/R3K3 b Q - 0 34
EdZum,rn5k/pQp3pp/4b3/8/3P4/2q2N2/P5PP/R5KR w - - 0 21,b7a8 c3e3 g1f1 e6c4,1725,76,96,342,middlegame,https://lichess.org/HwFwtpP8#40,,"['c3e3', 'g1f1', 'e6c4']","[0.47092780470848083, 1.0, 0.8097029328346252]","['c3e3', 'g1f1', 'e6c4']","[0.001694829436019063, 0.9938269257545471, 0.004478224087506533]","['c3e3', 'g1f1', 'e6c4']","['c3a1', 'g1f2', 'a1h1']","[0.5986335873603821, 1.0, 0.8827210068702698]","[0.3145957887172699, 0.9945703148841858, 0.9045131802558899]","['c3e3', 'g1f1', 'e6c4']","[0.5986335873603821, 1.0, 0.8827210068702698]",Qn5k/p1p3pp/5b2/8/3P4/2q2N2/P5PP/R5KR b - - 0 21
EknVc,2r3k1/4Npp1/p3p2p/1p2P3/1Pb5/P3qNP1/5PP1/3R2K1 b - - 0 29,g8f8 e7c8 e3d3 d1d3,844,76,100,729,advantage endgame hangingPiece short,https://lichess.org/EM0VMU1G/black#57,,"['e7c8', 'e3d3', 'd1d3']","[0.2928961515426636, 0.021723058074712753, 0.7249152660369873]","['f2e3', 'e3e2', 'd1d3']","[0.0038042282685637474, 0.9933254718780518, 0.0028702898416668177]","['e7g6', 'f7g6', 'f2e3']","['e7c8', 'e3d3', 'd1d3']","[0.32793939113616943, 0.9166627526283264, 0.9452979564666748]","[0.3248971998691559, 0.7796086072921753, 0.9491817355155945]","['e7g6', 'f7g6', 'f2e3']","[0.3248971998691559, 0.7796086072921753, 0.9491817355155945]",2r2k2/4Npp1/p3p2p/1p2P2N/1Pb5/P3q1P1/5PP1/3R2K1 w - - 1 30
ElGwX,4k3/7R/pb2P1p1/1p2B3/1P2BP2/P7/4R1K1/1r4r1 w - - 1 46,g2f3 b1f1 e2f2 f1f2,1433,75,100,1135,mate mateIn2 middlegame short,https://lichess.org/0r8V12p3#90,,"['b1f1', 'e2f2', 'f1f2']","[0.21951453387737274, 1.0, 0.5754021406173706]","['b1b3', 'e2f2', 'f1f2']","[0.0122843561694026, 0.8184277415275574, 0.16928790509700775]","['b1b3', 'e4d3', 'b3d3']","['b1f1', 'e2f2', 'f1f2']","[0.5831287503242493, 0.973483681678772, 0.7820835113525391]","[0.36406680941581726, 1.0, 0.9458295702934265]","['b1b3', 'e4d3', 'b3d3']","[0.36406680941581726, 1.0, 0.9458295702934265]",4k3/7R/pb2P1p1/1p2BB2/1P3P2/P4K2/4R3/1r4r1 b - - 2 46
EmtcQ,2br4/5pk1/p1P3p1/1p1Np2p/1P2P2P/P2B2P1/1b5K/2R5 w - - 1 37,c6c7 d8d5 e4d5 b2c1,1522,74,92,5457,crushing endgame short,https://lichess.org/fVVZx5oF#72,,"['d8d5', 'e4d5', 'b2c1']","[0.40588030219078064, 0.3764658570289612, 0.6920344233512878]","['d8d5', 'e4d5', 'b2c1']","[0.0025307682808488607, 0.9922188520431519, 0.00525037432089448]","['d8d6', 'c1c2', 'b2a3']","['d8d5', 'e4d5', 'b2c1']","[0.4295332729816437, 0.7833472490310669, 0.7335888743400574]","[0.3278602063655853, 0.7076377272605896, 0.9325278997421265]","['d8d6', 'c1c2', 'b2a3']","[0.3278602063655853, 0.7076377272605896, 0.9325278997421265]",2br4/2P2pk1/p3P1p1/1p1Np2p/1P2P2P/P2B2P1/1b5K/2R5 b - - 0 37
EoASZ,3r2k1/4b1pp/p5q1/2pn1p2/Pn1pNB2/1P3P2/2PQR1PP/4R1K1 w - - 0 28,e4g5 d5f4 e2e7 g6g5,1502,93,78,28,advantage capturingDefender middlegame short,https://lichess.org/S4eCTV66#54,,"['d5f4', 'e2e7', 'g6g5']","[0.17258262634277344, 0.5101842284202576, 0.3710712194442749]","['d5e3', 'e2e7', 'g6g5']","[0.002599881961941719, 0.9929661750793457, 0.0044339424930512905]","['e7f6', 'g5e6', 'd8c8']","['d5f4', 'e2e7', 'g6g5']","[0.36990290880203247, 0.7452977299690247, 0.7254107594490051]","[0.32530513405799866, 0.7147822976112366, 0.8346066474914551]","['e7f6', 'g5e6', 'd8c8']","[0.32530513405799866, 0.7147822976112366, 0.8346066474914551]",3r4/4b1pp/p5q1/2pn1pN1/Pn1p1B2/1P3P2/1kPQR1PP/4R1K1 b - - 1 28
EwYR7,3rr1k1/pp2p1b1/2p3Q1/6N1/2qP1Pb1/4P3/PP6/RK5R b - - 4 27,c4d5 h1h8 g8h8 g6h7,1670,73,95,15419,attraction kingsideAttack mate mateIn2 middlegame pin sacrifice short,https://lichess.org/9M0r1RSV/black#53,,"['h1h8', 'g8h8', 'g6h7']","[0.03863910585641861, 1.0, 0.4912426471710205]","['g6h7', 'g8h8', 'g6h7']","[0.007102224975824356, 0.9872625470161438, 0.005635244306176901]","['e3e4', 'g4f5', 'g6f5']","['h1h8', 'g8h8', 'g6h7']","[0.6141241788864136, 0.7122690081596375, 0.826350212097168]","[0.3087049424648285, 1.0, 0.9064883589744568]","['e3e4', 'g4f5', 'g6f5']","[0.3087049424648285, 1.0, 0.9064883589744568]",3rr1k1/pp2p1b1/2p3Q1/3q4/3P1Pb1/4P3/PPN5/RK5R w - - 5 28
F3pfo,r4rk1/pp1n2p1/2p3B1/3p2Q1/3P4/4P2P/P2q1P2/2R2K1R w - - 1 22,c1c2 f8f2 f1g1 d2e1,1750,76,93,422,mate mateIn2 middlegame short,https://lichess.org/knKNwDmT#42,,"['f8f2', 'f1g1', 'd2e1']","[0.004363915883004665, 1.0, 0.4325520396232605]","['d2d1', 'f1g1', 'd2e1']","[0.003214511089026928, 0.9920796751976013, 0.004705771803855896]","['f8f2', 'f1g1', 'd2e1']","['d2d1', 'f1g2', 'd1f3']","[0.5075570344924927, 1.0, 0.7363013625144958]","[0.41631612181663513, 1.0, 0.9185175895690918]","['f8f2', 'f1g1', 'd2e1']","[0.5075570344924927, 1.0, 0.7363013625144958]",r4rk1/pp1n2p1/2p3B1/3p4/3P4/4P1QP/P1Rq1P2/5K1R b - - 2 22
F549e,5rk1/p1p2ppp/3pq3/b2Np1B1/Q1Pn4/P2P2P1/4rP1P/R4RK1 w - - 0 17,a4a5 d4f3 g1g2 f3g5,1327,121,13,47,advantage fork middlegame short,https://lichess.org/aBsLn7ai#32,English_Opening English_Opening_Kings_English_Variation,"['d4f3', 'g1g2', 'f3g5']","[0.3186125159263611, 0.8941895961761475, 0.5246312618255615]","['d4f3', 'g1g2', 'f3g5']","[0.0021247537806630135, 0.9965419173240662, 0.0013332628877833486]","['e6h3', 'd5e7', 'g8h8']","['d4f3', 'g1g2', 'f3g5']","[0.4614523649215698, 0.84540855884552, 1.0]","[0.33985671401023865, 0.9472348093986511, 0.898535430431366]","['e6h3', 'd5e7', 'g8h8']","[0.33985671401023865, 0.9472348093986511, 0.898535430431366]",5rk1/pBp2ppp/3pq3/Q2Np3/2Pn4/P2P2P1/4rP1P/R4RK1 b - - 0 17
FAILX,6k1/pb4pp/1p6/1P6/N1P1n3/1P4P1/3p2KP/4R3 w - - 0 31,e1g1 e4g5 g2f2 g5h3,2130,153,82,12,crushing discoveredAttack endgame short,https://lichess.org/zykl3WEV#60,,"['e4g5', 'g2f2', 'g5h3']","[0.0686778649687767, 0.8888551592826843, 0.3485336899757385]","['e4c3', 'g2f2', 'g5h3']","[0.006434259004890919, 0.9887702465057373, 0.004795555025339127]","['e4g5', 'g2f2', 'g5h3']","['e4c3', 'g2f2', 'd2d1q']","[0.4864535331726074, 0.9767103791236877, 0.930600643157959]","[0.41989439725875854, 0.964396595954895, 0.789021909236908]","['e4g5', 'g2f2', 'g5h3']","[0.4864535331726074, 0.9767103791236877, 0.930600643157959]",6k1/p5pp/1p6/1P6/NbP1n3/1P4P1/3p2KP/6R1 b - - 1 31
FJP9v,6k1/pb4p1/1p5p/3P1P2/4n3/P7/7P/2BR1R1K w - - 0 30,d5d6 e4f2 h1g1 f2h3,1962,81,83,173,doubleCheck endgame mate mateIn2 short,https://lichess.org/2LYxujUR#58,,"['e4f2', 'h1g1', 'f2h3']","[0.08382797241210938, 1.0, 0.2136741727590561]","['e4d6', 'h1g1', 'f2h3']","[0.009038513526320457, 0.8494939804077148, 0.14146745204925537]","['e4f2', 'h1g1', 'f2h3']","['e4g5', 'f1f3', 'b7f3']","[0.6071093082427979, 1.0, 0.8854379057884216]","[0.30611932277679443, 0.9808186888694763, 0.9461243152618408]","['e4f2', 'h1g1', 'f2h3']","[0.6071093082427979, 1.0, 0.8854379057884216]",6k1/pb4p1/1p1P3p/5P2/4n3/P4R2/7P/2BR3K b - - 0 30
FLgHs,6nk/7p/3p1p1p/3P4/2Q1Pq2/8/P1K1Br2/1R6 b - - 3 32,f6f5 c4d4 f4e5 d4f2,1396,75,97,24708,crushing deflection endgame short,https://lichess.org/hdh81bF3/black#63,,"['c4d4', 'f4e5', 'd4f2']","[0.2534969747066498, 0.06072975695133209, 0.2419438660144806]","['c4c3', 'g8f6', 'd4e5']","[0.014886010438203812, 0.9537932872772217, 0.031320713460445404]","['c4d4', 'f4e5', 'd4f2']","['c4c3', 'f4e5', 'c3e5']","[0.5252686142921448, 0.8662040829658508, 0.8183013796806335]","[0.32817670702934265, 0.9910350441932678, 0.8769407272338867]","['c4d4', 'f4e5', 'd4f2']","[0.5252686142921448, 0.8662040829658508, 0.8183013796806335]",6nk/7p/3p3p/3P1p2/2Q1P2q/8/P1K1Br2/1R6 w - - 0 33
FOzmt,8/p1p5/4RB1p/1kp3pq/5p2/1PP2P2/P4PK1/8 b - - 0 27,h5f7 c3c4 b5b4 e6a6,2239,76,88,312,crushing endgame short,https://lichess.org/OuXHK5t0/black#53,,"['c3c4', 'b5b4', 'e6a6']","[0.27728182077407837, 0.6846292018890381, 0.2579292356967926]","['c3c4', 'b5b4', 'e6a6']","[0.009097266010940075, 0.9665292501449585, 0.02437344752252102]","['c3c4', 'b5b4', 'e6a6']","['a2a4', 'b5a5', 'e6c6']","[0.5638225674629211, 0.9868285059928894, 0.9116807579994202]","[0.3225139081478119, 1.0, 0.8125748038291931]","['c3c4', 'b5b4', 'e6a6']","[0.5638225674629211, 0.9868285059928894, 0.9116807579994202]",8/p1p5/4RB1p/1kp3p1/5p2/1PPq1P2/P4PK1/8 w - - 1 28
FQmAn,8/8/3p2p1/p1pp1k1p/P2P3P/2P2KP1/2P5/8 w - - 0 31,c3c4 c5d4 c4d5 f5e5,1712,75,96,4177,crushing endgame pawnEndgame short,https://lichess.org/sdOXFd7a#60,,"['c5d4', 'c4d5', 'f5e5']","[0.22607539594173431, 0.9014509916305542, 0.6365522742271423]","['d5c4', 'c4d5', 'f5e5']","[0.0363905094563961, 0.9473447799682617, 0.016264701262116432]","['c5d4', 'c4d5', 'f5e5']","['d5c4', 'd4c5', 'd6c5']","[0.5358604192733765, 0.7905322313308716, 0.8629383444786072]","[0.40380361676216125, 0.9544829726219177, 0.7563515901565552]","['c5d4', 'c4d5', 'f5e5']","[0.5358604192733765, 0.7905322313308716, 0.8629383444786072]",8/8/3p2p1/2pp1k1p/P1PP3P/5KP1/2P5/8 b - - 0 31
FTelQ,rn2kb1r/pp2pppp/2pq4/8/2NP4/3bP3/PP1N1KPP/R1BQR3 b kq - 0 10,d6h2 d2f3 h2c7 d1d3,1558,74,90,1078,advantage discoveredAttack opening short,https://lichess.org/vsi9GyTe/black#19,Slav_Defense Slav_Defense_Quiet_Variation,"['d2f3', 'h2c7', 'd1d3']","[0.21191191673278809, 0.4134508967399597, 0.8999984860420227]","['e1h1', 'h2c7', 'd1d3']","[0.030592072755098343, 0.9188113808631897, 0.05059656500816345]","['d2f3', 'h2c7', 'd1d3']","['c4e5', 'h2h4', 'f2g1']","[0.4268335700035095, 0.7560446262359619, 0.92830491065979]","[0.38816383481025696, 0.8747401833534241, 0.8182815313339233]","['d2f3', 'h2c7', 'd1d3']","[0.4268335700035095, 0.7560446262359619, 0.92830491065979]",rn2kb1r/pp2pppp/2p5/8/2NP4/3bP3/PP1NRKPq/R1BQ4 w kq - 0 11
FjbuI,8/2p2p2/1p3Ppk/p2QP3/3P3r/P2q4/1P3PRP/7K w - - 3 39,d5f7 d3d1 g2g1 d1f3,1977,76,68,81,crushing endgame short,https://lichess.org/qCZWLCzQ#76,,"['d3d1', 'g2g1', 'd1f3']","[0.163700133562088, 1.0, 0.9530000686645508]","['d3f1', 'g2g1', 'd1f3']","[0.0009542831685394049, 0.9978448152542114, 0.0012009554775431752]","['d3d1', 'g2g1', 'd1f3']","['d3b1', 'g2g1', 'b1e4']","[0.49969661235809326, 1.0, 0.8094096183776855]","[0.3711230456829071, 1.0, 0.942221462726593]","['d3d1', 'g2g1', 'd1f3']","[0.49969661235809326, 1.0, 0.8094096183776855]",8/2p2Q2/1p4pk/p3P3/3P3r/P2q4/1P3PRP/7K b - - 0 39
FpWF2,4Q3/1p1P2rk/2p5/5p1p/P5qp/R5B1/1P3P2/6K1 b - - 0 35,h4g3 d7d8q g3f2 g1f2,2529,85,90,801,advancedPawn crushing endgame promotion short,https://lichess.org/2ifv3MK3/black#69,,"['d7d8q', 'g3f2', 'g1f2']","[0.10621664673089981, 0.7305330634117126, 0.7099193930625916]","['f2f3', 'g3f2', 'g1f2']","[0.015063601545989513, 0.9804494976997375, 0.004486915655434132]","['d7d8q', 'g3f2', 'g1f2']","['a3g3', 'g4d1', 'g1h2']","[0.4662301540374756, 0.9168967604637146, 0.8636051416397095]","[0.38345634937286377, 0.9266694784164429, 0.7859105467796326]","['d7d8q', 'g3f2', 'g1f2']","[0.4662301540374756, 0.9168967604637146, 0.8636051416397095]",8/1p1P1Qrk/2p5/5p1p/P5q1/R5p1/1P3P2/6K1 w - - 0 36
Fq9nH,k6r/pp3b2/3Q4/3p2p1/4p3/PP2P1Pq/2PR1P2/5RK1 w - - 2 31,f2f4 h3g3 d2g2 g3e3,1857,247,-100,4,advantage endgame short,https://lichess.org/XmxPbVX7#60,,"['h3g3', 'd2g2', 'g3e3']","[0.10559305548667908, 1.0, 0.7607691884040833]","['h3h1', 'd2g2', 'g3e3']","[0.004519668873399496, 0.9936461448669434, 0.0018342167604714632]","['h3g3', 'd2g2', 'g3e3']","['h3h1', 'g1f2', 'h1f3']","[0.41319748759269714, 1.0, 0.7980343699455261]","[0.384269654750824, 1.0, 0.8509365916252136]","['h3g3', 'd2g2', 'g3e3']","[0.41319748759269714, 1.0, 0.7980343699455261]",k6r/pp3b2/8/2Qp2p1/4pP2/PP2P1Pq/2PR4/5RK1 b - f3 0 31
FrXtx,5k2/8/R5K1/8/7P/1p6/8/1r6 w - - 0 51,h4h5 b1g1 g6f6 g1f1,2412,93,89,1440,crushing endgame rookEndgame short,https://lichess.org/6VIYIFoj#100,,"['b1g1', 'g6f6', 'g1f1']","[0.2600012719631195, 0.44138357043266296, 0.4495302736759186]","['b1g1', 'g6f6', 'g1f1']","[0.010197408497333527, 0.9863328337669373, 0.003469736548140645]","['b3b2', 'a6a8', 'f8e7']","['b1g1', 'g6f6', 'g1f1']","[0.4411070644855499, 0.7750636339187622, 1.0]","[0.39721357822418213, 0.7625190019607544, 0.8464374542236328]","['b3b2', 'a6a8', 'f8e7']","[0.39721357822418213, 0.7625190019607544, 0.8464374542236328]",5k2/8/6K1/7P/8/1p6/4R3/1r6 b - - 0 51
G0CGa,r1b1k3/1pp3p1/p6p/2Pn4/3P2q1/5NP1/P2Br1BK/R1Q2R2 w q - 4 28,f1e1 g4h3 h2g1 h3g2,1914,106,20,24,mate mateIn2 middlegame pin short,https://lichess.org/9KxwkBTo#54,,"['g4h3', 'h2g1', 'h3g2']","[0.010069763287901878, 1.0, 0.8430055975914001]","['g4h5', 'h2g1', 'h3g2']","[0.02446947619318962, 0.7164015769958496, 0.25912901759147644]","['g4h3', 'h2g1', 'h3g2']","['g4f3', 'e1e2', 'f3e2']","[0.5480347275733948, 1.0, 0.9152047038078308]","[0.3637959659099579, 0.9412164092063904, 0.9599443674087524]","['g4h3', 'h2g1', 'h3g2']","[0.5480347275733948, 1.0, 0.9152047038078308]",r1b1k3/1pp3p1/p6p/2Pn4/3P2q1/5NP1/P2BrPBK/R1Q1R3 b q - 5 28
G5Djm,3N4/1kp2q2/rp1bp3/1Q1p4/3Pn3/2P1P1P1/1P3r2/2KR1R2 b - - 1 30,b7a7 b5a6 a7a6 d8f7,2135,74,91,3129,advantage middlegame short,https://lichess.org/UjDRGBX0/black#59,,"['b5a6', 'a7a6', 'd8f7']","[0.0025109504349529743, 0.9453384280204773, 0.8159806728363037]","['d8f7', 'a7a6', 'd8f7']","[0.007267070468515158, 0.9892857670783997, 0.003447231138125062]","['b5a6', 'a7a6', 'd8f7']","['d8c6', 'a7b7', 'c6d8']","[0.5020917057991028, 0.9796410799026489, 0.965009331703186]","[0.4331197738647461, 0.9885805249214172, 0.8099045157432556]","['b5a6', 'a7a6', 'd8f7']","[0.5020917057991028, 0.9796410799026489, 0.965009331703186]",q2N4/k1p5/rp1bp3/1Q1p4/3Pn3/2P1P1P1/1P3r2/2KR1R2 w - - 2 31
G7iPS,8/8/1p1Pkbp1/p6p/P3K3/BP6/7P/8 w - - 2 45,e4f4 f6e5 f4g5 e5h2,2121,90,64,23,bishopEndgame crushing endgame short skewer,https://lichess.org/7g3gyqOO#88,,"['f6e5', 'f4g5', 'e5h2']","[0.09383062273263931, 0.7978765964508057, 0.525392472743988]","['g6g5', 'f4g5', 'e5h2']","[0.055141933262348175, 0.9178194403648376, 0.02703862078487873]","['g6g5', 'f4e4', 'g5g4']","['f6e5', 'f4g5', 'e5h2']","[0.45072534680366516, 0.9124582409858704, 0.7219981551170349]","[0.40387916564941406, 0.81922847032547, 0.9038766622543335]","['g6g5', 'f4e4', 'g5g4']","[0.40387916564941406, 0.81922847032547, 0.9038766622543335]",8/8/1p1Pkbp1/p6p/P4K2/1P6/B6P/8 b - - 3 45
GD4nh,2k4r/ppp3p1/3r4/6q1/2P5/P1Q1P2p/1P3PPK/R5R1 w - - 0 26,g2h3 h8h3 h2h3 d6h6,1245,95,60,26,attraction endgame mate mateIn2 sacrifice short,https://lichess.org/GQSAmYdc#50,,"['h8h3', 'h2h3', 'd6h6']","[0.02780841663479805, 1.0, 0.4808584153652191]","['g5f5', 'h2h3', 'd6h6']","[0.0055155218578875065, 0.9846031069755554, 0.009881343692541122]","['g5f5', 'e3e4', 'f5f2']","['h8h3', 'h2h3', 'd6h6']","[0.6069811582565308, 0.7549834847450256, 0.8106192946434021]","[0.30048543214797974, 1.0, 0.8644359111785889]","['g5f5', 'e3e4', 'f5f2']","[0.30048543214797974, 1.0, 0.8644359111785889]",2k4r/ppp3p1/3r4/6q1/2P5/P1Q1P2P/KP3P2/R5R1 b - - 0 26
GGS8H,2b3kr/p4pp1/8/3B3p/6nq/2N5/PPPP1PP1/R1BQ1RK1 w - - 3 15,d5f7 g8f8 f1e1 h4f2,2288,81,87,423,crushing defensiveMove middlegame short,https://lichess.org/RXeIZFW9#28,Bishops_Opening Bishops_Opening_Philidor_Counterattack,"['g8f8', 'f1e1', 'h4f2']","[0.34106361865997314, 0.05723391845822334, 0.38866591453552246]","['g8f7', 'f2f4', 'h4f2']","[0.011203702539205551, 0.9570459127426147, 0.03175035119056702]","['g8f8', 'f1e1', 'h4f2']","['g8h7', 'd1g4', 'h5g4']","[0.5003190636634827, 0.795353353023529, 0.8367815613746643]","[0.4837481677532196, 0.8355060815811157, 0.778588056564331]","['g8f8', 'f1e1', 'h4f2']","[0.5003190636634827, 0.795353353023529, 0.8367815613746643]",2b3kr/p4Bp1/8/3n3p/7q/2N5/PPPP1PP1/R1BQ1RK1 b - - 0 15
GHrJH,q2r2k1/pb2N1p1/1p2rp2/2n4Q/2P5/8/P4PPP/1B2R1K1 b - - 5 32,e6e7 e1e7 d8d1 h5d1,2285,77,91,1415,advantage hangingPiece middlegame short,https://lichess.org/CiLxecSe/black#63,,"['e1e7', 'd8d1', 'h5d1']","[0.34673091769218445, 0.0031475413125008345, 0.9862479567527771]","['e1e7', 'b7e4', 'h5d1']","[0.0041083162650465965, 0.9806857109069824, 0.01520594023168087]","['h5h7', 'g8f8', 'h7h8']","['e1e7', 'd8d1', 'h5d1']","[0.4585034251213074, 0.9052630066871643, 0.9187034964561462]","[0.36992505192756653, 0.8285255432128906, 0.9945854544639587]","['h5h7', 'g8f8', 'h7h8']","[0.36992505192756653, 0.8285255432128906, 0.9945854544639587]",q5k1/pb2r1p1/1p3p2/2n4Q/2P5/8/P1r2PPP/1B2R1K1 w - - 0 33
GJUmD,r1b2rk1/ppqn1pp1/2p4p/3p4/3P2nB/2NBP1K1/PP2NPP1/R2Q1R2 w - - 3 13,g3g4 d7f6 g4f3 c8g4,1142,79,95,19878,doubleCheck mate mateIn2 middlegame short,https://lichess.org/Rtb2yPfA#24,Queens_Gambit_Declined Queens_Gambit_Declined_Exchange_Variation,"['d7f6', 'g4f3', 'c8g4']","[0.09890279173851013, 1.0, 0.2213289737701416]","['d7e5', 'g4f3', 'c8g4']","[0.017288867384195328, 0.8941675424575806, 0.08854350447654724]","['d7f6', 'g4f3', 'c8g4']","['d7e5', 'g4g3', 'e5d3']","[0.4626210629940033, 1.0, 0.8718382716178894]","[0.4421099126338959, 0.9722353219985962, 0.868872880935669]","['d7f6', 'g4f3', 'c8g4']","[0.4626210629940033, 1.0, 0.8718382716178894]",r1b2rk1/ppqn1pp1/2p1R2p/3p4/3P2KB/2NBP3/PP2NPP1/3Q1R2 b - - 0 13
GJbsv,r4rk1/1p1B1pb1/p3p1pp/4P3/Q2P3q/4PR1P/P5P1/5RK1 b - - 1 25,a8d8 f3f7 f8f7 d7e6,1677,75,96,1087,capturingDefender crushing master middlegame pin sacrifice short,https://lichess.org/Kx8K58bx/black#49,,"['f3f7', 'f8f7', 'd7e6']","[0.013037329539656639, 0.27477356791496277, 0.21773655712604523]","['g1h2', 'f8f7', 'f1f7']","[0.1485726237297058, 0.8088540434837341, 0.04257339611649513]","['f3f7', 'f8f7', 'd7e6']","['d4d5', 'h4a4', 'd7a4']","[0.514859139919281, 0.7615566849708557, 0.9327311515808105]","[0.36770445108413696, 0.8811776638031006, 0.916999340057373]","['f3f7', 'f8f7', 'd7e6']","[0.514859139919281, 0.7615566849708557, 0.9327311515808105]",3r1rk1/1p1B1pb1/p3p1pp/4P3/Q2P3q/4PR1P/P3p1P1/5RK1 w - - 2 26
GQTAV,8/5pk1/b4n2/p1Kp2p1/P5Pp/5P2/4N2P/5B2 b - - 5 39,g7g6 e2f4 g5f4 f1a6,1542,76,93,1069,advantage discoveredAttack endgame short,https://lichess.org/gKcVZm3L/black#77,,"['e2f4', 'g5f4', 'f1a6']","[0.03341200202703476, 0.16352863609790802, 0.796201765537262]","['e2g3', 'g6g7', 'f1a6']","[0.007304071914404631, 0.9792467951774597, 0.013449114747345448]","['c5b6', 'a6c4', 'b6a5']","['e2f4', 'g5f4', 'f1a6']","[0.5405483841896057, 0.9478017091751099, 0.8464905619621277]","[0.3367246389389038, 0.9266524314880371, 0.9669200778007507]","['c5b6', 'a6c4', 'b6a5']","[0.3367246389389038, 0.9266524314880371, 0.9669200778007507]",8/5p2/b4nk1/p1Kp2p1/P5Pp/5P2/2p1N2P/5B2 w - - 6 40
