PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,principal_variation,sparring_full_pv_probs,sparring_full_model_moves,sparring_wdl,branch_1,branch_2,branch_1_probs,branch_2_probs,full_model_moves,full_pv_probs,corrupted_fen
bJIOM,r4rk1/ppp3p1/2n1N2p/2bpPn2/5B1q/2P5/PPQ3PP/RN3R1K w - - 2 16,e6c5 f5g3 h1g1 g3f1,1928,82,79,38,crushing kingsideAttack middlegame pin short,https://lichess.org/Gw4IA3Zp#30,Kings_Gambit_Accepted Kings_Gambit_Accepted_MacLeod_Defense,"['f5g3', 'h1g1', 'g3f1']","[0.0459011048078537, 0.7870166301727295, 0.725791871547699]","['f5d4', 'h1g1', 'g3f1']","[0.012194798327982426, 0.9397590756416321, 0.04804614558815956]","['f5e3', 'c2f2', 'h4f2']","['f5g3', 'h1g1', 'g3f1']","[0.47840452194213867, 0.8402711749076843, 0.7148142457008362]","[0.416368305683136, 0.9299206733703613, 0.8242797255516052]","['f5e3', 'c2f2', 'h4f2']","[0.416368305683136, 0.9299206733703613, 0.8242797255516052]",r4rk1/ppp3p1/2n4p/2NpPn2/5B1q/2P5/PPQ2RPP/RN5K b - - 0 16
bndjD,r4rk1/pppn2pp/3p1p2/2q5/3nPRN1/2NP3P/PPPQ2P1/5RK1 w - - 4 18,a2a3 d4f3 g1h1 f3d2,1142,76,96,7579,crushing doubleCheck middlegame short,https://lichess.org/8vhauT7O#34,Three_Knights_Opening Three_Knights_Opening_Other_variations,"['d4f3', 'g1h1', 'f3d2']","[0.04732189327478409, 1.0, 0.9446665644645691]","['c7c6', 'g1h1', 'f3d2']","[0.011918832547962666, 0.9725558161735535, 0.015525339171290398]","['d4f3', 'g1h1', 'f3d2']","['d4e2', 'g1h2', 'e2f4']","[0.5408507585525513, 1.0, 0.9140672087669373]","[0.36256805062294006, 0.8475687503814697, 0.902640163898468]","['d4f3', 'g1h1', 'f3d2']","[0.5408507585525513, 1.0, 0.9140672087669373]",r4rk1/pppn2pp/3p1p2/2q5/3nPRN1/P1NP3P/1PP2QP1/5RK1 b - - 0 18
bpoPm,r1b2rk1/ppb1qp1p/4pp2/3pP3/8/2PB3N/PP4PP/R2Q1RK1 b - - 0 15,c7e5 d1g4 g8h8 g4h4,2576,88,83,92,crushing middlegame short,https://lichess.org/nYdmIqRG/black#29,Queens_Pawn_Game Queens_Pawn_Game_Other_variations,"['d1g4', 'g8h8', 'g4h4']","[0.17203651368618011, 1.0, 0.511067271232605]","['d1h5', 'g8h8', 'g4h4']","[0.006499444134533405, 0.98539137840271, 0.00810923334211111]","['d1g4', 'g8h8', 'g4h4']","['d3h7', 'g8h7', 'd1h5']","[0.48194634914398193, 1.0, 0.7072707414627075]","[0.404390811920166, 0.7672637104988098, 0.9289261102676392]","['d1g4', 'g8h8', 'g4h4']","[0.48194634914398193, 1.0, 0.7072707414627075]",r4rkb/pp2qp1p/4pp2/3pb3/8/2PB3N/PP4PP/R2Q1RK1 w - - 0 16
dnQCG,3rr1k1/p5p1/bp2PP1p/3p4/2P1qP2/P1Q4P/1B6/2R2RK1 b - - 0 25,e8e6 f6f7 g8f7 c3g7,1392,77,85,661,advancedPawn attraction crushing discoveredAttack kingsideAttack middlegame short,https://lichess.org/rSNxpjHm/black#49,,"['f6f7', 'g8f7', 'c3g7']","[0.038790810853242874, 0.9125626683235168, 0.16929426789283752]","['f1e1', 'g8f7', 'f4f5']","[0.006193784065544605, 0.9897790551185608, 0.004027186892926693]","['c3g3', 'e4e3', 'g3e3']","['f6f7', 'g8f7', 'c3g7']","[0.4246353805065155, 0.8887990117073059, 0.9476217031478882]","[0.33210423588752747, 0.9304256439208984, 0.8862756490707397]","['c3g3', 'e4e3', 'g3e3']","[0.33210423588752747, 0.9304256439208984, 0.8862756490707397]",3r2k1/p5p1/bp2rP1p/3pp3/2P1qP2/P1Q4P/1B6/2R2RK1 w - - 0 26
fLnuv,r1b3k1/1pp2p1p/p2n1qpB/3Pr3/3Q4/P7/1PB2PPP/R4RK1 w - - 2 20,f1e1 e5e1 a1e1 f6d4,929,78,83,136,crushing discoveredAttack kingsideAttack middlegame short,https://lichess.org/jQmyLFtN#38,,"['e5e1', 'a1e1', 'f6d4']","[0.06605943292379379, 1.0, 0.7572968006134033]","['d6f5', 'a1e1', 'f6d4']","[0.03302721306681633, 0.4734247028827667, 0.49354809522628784]","['e5e1', 'a1e1', 'f6d4']","['e5e6', 'd4f6', 'e6f6']","[0.4884013533592224, 1.0, 0.9288020133972168]","[0.3306112587451935, 0.8000782132148743, 0.9135230183601379]","['e5e1', 'a1e1', 'f6d4']","[0.4884013533592224, 1.0, 0.9288020133972168]",rqb3k1/1pp2p1p/p2n2pB/3Pr3/3Q4/P7/1PB2PPP/R3R1K1 b - - 3 20
iEmPE,4nrk1/5pb1/6p1/p1R1p1Np/P1Q1P1qP/1P6/3r1BP1/4R1K1 w - - 5 29,c5c8 d2f2 g1f2 g4h4,1890,74,91,3030,attraction capturingDefender crushing kingsideAttack master masterVsMaster middlegame short,https://lichess.org/MpX4XlXi#56,,"['d2f2', 'g1f2', 'g4h4']","[0.030509671196341515, 0.5291188359260559, 0.3772166967391968]","['e8d6', 'g1f2', 'g4h4']","[0.004816417116671801, 0.9884235262870789, 0.006760106422007084]","['d2f2', 'g1f2', 'g4h4']","['e8d6', 'c8f8', 'g7f8']","[0.3577621579170227, 0.9149465560913086, 0.8690433502197266]","[0.32401740550994873, 0.7712327241897583, 0.961213231086731]","['d2f2', 'g1f2', 'g4h4']","[0.3577621579170227, 0.9149465560913086, 0.8690433502197266]",2R1nrk1/5pb1/6p1/p3p1Np/PqQ1P2P/1P6/3r1BP1/4R1K1 b - - 6 29
inahM,8/p1k5/1pPb3p/1P2p1p1/6P1/P1R1Br1P/8/6K1 b - - 2 30,f3h3 e3b6 c7b6 c3h3,1272,76,93,4147,crushing discoveredAttack endgame short,https://lichess.org/8DJWwnPl/black#59,,"['e3b6', 'c7b6', 'c3h3']","[0.0018999336753040552, 0.589676022529602, 0.8722498416900635]","['g1g2', 'c7b6', 'c3h3']","[0.005488881375640631, 0.9828665852546692, 0.011644500307738781]","['e3b6', 'c7b6', 'c3h3']","['g1g2', 'h3h4', 'c3c4']","[0.34841758012771606, 0.8881420493125916, 0.9565909504890442]","[0.3299233317375183, 0.9395239353179932, 0.7538635730743408]","['e3b6', 'c7b6', 'c3h3']","[0.34841758012771606, 0.8881420493125916, 0.9565909504890442]",8/p7/1pPb3p/1P2p1p1/4k1P1/P1R1B2r/8/6K1 w - - 0 31
kYRj0,5rk1/pp1b2pp/4p3/4P3/6P1/P3K3/1P2Br1P/2R4R w - - 2 23,h1f1 f2e2 e3e2 d7b5,1477,76,96,15819,attraction crushing endgame sacrifice short,https://lichess.org/Bfp7Qbuo#44,,"['f2e2', 'e3e2', 'd7b5']","[0.0430569052696228, 0.8504365086555481, 0.41336968541145325]","['f2f1', 'e3e2', 'd7b5']","[0.010314292274415493, 0.9597786068916321, 0.029907122254371643]","['f2h2', 'f1f8', 'g8f8']","['f2e2', 'e3e2', 'd7b5']","[0.41862577199935913, 0.735204815864563, 1.0]","[0.37819960713386536, 0.9279858469963074, 0.9379496574401855]","['f2h2', 'f1f8', 'g8f8']","[0.37819960713386536, 0.9279858469963074, 0.9379496574401855]",b4rk1/pp4pp/4p3/4P3/6P1/P3K3/1P2Br1P/2R2R2 b - - 3 23
mjqA5,8/pp4pk/7p/2P2p2/7r/1P1Q1P1q/P4P1P/4R1K1 w - - 0 37,e1e7 h4g4 f3g4 h3d3,1831,78,84,54,advantage endgame short,https://lichess.org/tTMlA8w7#72,,"['h4g4', 'f3g4', 'h3d3']","[0.003369503654539585, 0.5017414093017578, 0.8404753804206848]","['h3h2', 'f3g4', 'h3d3']","[0.011640637181699276, 0.984257698059082, 0.004101709462702274]","['h4h5', 'e7g7', 'h7g7']","['h4g4', 'f3g4', 'h3d3']","[0.3983548879623413, 0.9233232736587524, 0.9779872298240662]","[0.39650431275367737, 0.9774789214134216, 0.962440013885498]","['h4h5', 'e7g7', 'h7g7']","[0.39650431275367737, 0.9774789214134216, 0.962440013885498]",4K3/pp2R1pk/7p/2P2p2/7r/1P1Q1P1q/P4P1P/8 b - - 1 37
nGHx9,1q3rk1/4ppb1/p6B/2pPp2Q/4B3/6P1/P6P/6K1 b - - 2 30,f7f5 h5g6 f8f7 e4f5,2113,76,84,78,crushing endgame short,https://lichess.org/I9tgXRkW/black#59,,"['h5g6', 'f8f7', 'e4f5']","[0.05623572692275047, 0.9018425941467285, 0.444870263338089]","['e4f5', 'f8f7', 'e4f5']","[0.001616158289834857, 0.9937600493431091, 0.00462376931682229]","['h6g7', 'g8g7', 'h5g5']","['h5g6', 'f8f7', 'e4f5']","[0.37997955083847046, 0.7180079221725464, 0.7811971306800842]","[0.3797065019607544, 0.8948320150375366, 0.8817124962806702]","['h6g7', 'g8g7', 'h5g5']","[0.3797065019607544, 0.8948320150375366, 0.8817124962806702]",1q3rk1/4p1b1/p3K2B/2pPpp1Q/4B3/6P1/P6P/8 w - - 0 31
owQuJ,8/2p5/1p1k4/1P1p2p1/1K1P1p1p/2P2P1P/6P1/8 b - - 3 46,c7c5 d4c5 b6c5 b4a5,1086,76,89,219,crushing defensiveMove endgame pawnEndgame short,https://lichess.org/cQiHEFe8/black#91,,"['d4c5', 'b6c5', 'b4a5']","[0.003125609364360571, 0.8376783132553101, 0.2610117793083191]","['b4a4', 'b6c5', 'b4b3']","[0.019044432789087296, 0.9636494517326355, 0.017306124791502953]","['d4c5', 'b6c5', 'b4a5']","['b5c6', 'd6c6', 'b4a4']","[0.4003605544567108, 0.9368863701820374, 0.835411548614502]","[0.30178362131118774, 0.9173632264137268, 0.7492077946662903]","['d4c5', 'b6c5', 'b4a5']","[0.4003605544567108, 0.9368863701820374, 0.835411548614502]",8/8/1p1k4/1Ppp2p1/1K1P1p1p/2Pp1P1P/6P1/8 w - c6 0 47
ozSHX,5rk1/1p3ppp/1q6/4p3/p1B1P3/QbR4P/1P3PP1/6K1 b - - 1 26,f8c8 c4f7 g8f7 c3c8,1014,85,92,2211,crushing discoveredAttack endgame short,https://lichess.org/7bp5TZWW/black#51,,"['c4f7', 'g8f7', 'c3c8']","[0.06320909410715103, 0.814850389957428, 0.5954867601394653]","['c4b3', 'g8f7', 'c3c8']","[0.00240261759608984, 0.9929013848304749, 0.004695983603596687]","['c4f7', 'g8f7', 'c3c8']","['a3e7', 'b3c4', 'c3c4']","[0.45913681387901306, 0.8091549277305603, 0.9414575695991516]","[0.3052068054676056, 0.8778769969940186, 0.9372028112411499]","['c4f7', 'g8f7', 'c3c8']","[0.45913681387901306, 0.8091549277305603, 0.9414575695991516]",2r3k1/1p3ppp/1q6/4p3/p1B1P3/Qb3R1P/1P3PP1/6K1 w - - 2 27
rOxNu,2r4k/4npp1/q7/3pP1P1/bB1P4/5Q1P/4rP2/RN3K1R w - - 0 34,b4e7 e2e3 f1g2 e3f3,1410,74,93,5103,crushing discoveredAttack middlegame short,https://lichess.org/nTCIe0HL#66,,"['e2e3', 'f1g2', 'e3f3']","[0.07974478602409363, 0.8536320328712463, 0.8665737509727478]","['c8c1', 'f1g2', 'e3f3']","[0.009600910358130932, 0.9814436435699463, 0.00895544420927763]","['e2e3', 'f1g2', 'e3f3']","['e2a2', 'f1g2', 'a2a1']","[0.46627241373062134, 0.9388536810874939, 0.8957333564758301]","[0.3198559582233429, 0.9706860780715942, 0.9017107486724854]","['e2e3', 'f1g2', 'e3f3']","[0.46627241373062134, 0.9388536810874939, 0.8957333564758301]",R1r4k/4Bpp1/q7/3pP1P1/b2P4/5Q1P/4rP2/RN3K2 b - - 0 34
rQOEN,8/bB2r2k/P5pp/8/6P1/4n1K1/2R1p1P1/4B3 w - - 11 52,c2e2 e3f1 g3f3 f1h2,1917,75,81,60,crushing endgame short,https://lichess.org/gzhNyHek#102,,"['e3f1', 'g3f3', 'f1h2']","[0.08094143122434616, 0.8126621842384338, 0.12179768085479736]","['a7b8', 'g3f3', 'e7f7']","[0.00978760328143835, 0.9510952830314636, 0.03911710903048515]","['e3f1', 'g3f3', 'f1h2']","['e3f5', 'g4f5', 'e7e2']","[0.5470782518386841, 0.8493366241455078, 0.9210137724876404]","[0.32109376788139343, 0.9576224684715271, 0.9421606063842773]","['e3f1', 'g3f3', 'f1h2']","[0.5470782518386841, 0.8493366241455078, 0.9210137724876404]",8/bB2r2k/P5pp/8/6P1/4n1K1/5RP1/4B3 b - - 0 52
ry66M,6k1/p3rp2/1p1R2p1/2pP3p/2P1q2P/2Qn2P1/PP6/2K2R2 w - - 1 29,c1b1 d3b4 b1a1 b4c2,1683,74,60,275,crushing discoveredAttack endgame queensideAttack short,https://lichess.org/VYKPNJIh#56,,"['d3b4', 'b1a1', 'b4c2']","[0.03966720402240753, 0.9301944375038147, 0.7039093375205994]","['d3f2', 'b1a1', 'b4c2']","[0.0034408678766340017, 0.990506112575531, 0.006052979733794928]","['d3b4', 'b1a1', 'b4c2']","['d3e1', 'b1c1', 'e1d3']","[0.5196441411972046, 0.9690283536911011, 0.8881657123565674]","[0.3087090253829956, 0.7782144546508789, 0.7577518820762634]","['d3b4', 'b1a1', 'b4c2']","[0.5196441411972046, 0.9690283536911011, 0.8881657123565674]",6k1/p3rp2/1p4p1/2pP3p/2P1q2P/2Qn2P1/PP1R4/1K3R2 b - - 2 29
t0n6c,2qk1b1r/6pp/5p2/2n1p1B1/1Q6/5P2/PP3P1P/R3K2R w KQ - 0 19,e1c1 c5d3 c1b1 f8b4,1806,76,95,12670,advantage discoveredAttack doubleCheck middlegame queensideAttack short,https://lichess.org/LPIqKhns#36,Sicilian_Defense Sicilian_Defense_Old_Sicilian,"['c5d3', 'c1b1', 'f8b4']","[0.06749852746725082, 0.8707146048545837, 0.7538314461708069]","['d8e8', 'c1b1', 'f8b4']","[0.007168477401137352, 0.9509115815162659, 0.04191993549466133]","['c5d3', 'c1b1', 'f8b4']","['c5d7', 'b4c3', 'c8c3']","[0.5983102917671204, 0.8423855304718018, 0.930114209651947]","[0.3320133090019226, 0.9751031994819641, 0.9092231392860413]","['c5d3', 'c1b1', 'f8b4']","[0.5983102917671204, 0.8423855304718018, 0.930114209651947]",2qk1b1r/6pp/5p2/2n1p1B1/1QR5/5P2/PP3P1P/2KR4 b - - 1 19
tgSWB,2rr3k/1p4pp/3q1p2/p2B4/P3P3/5Q2/1PP3P1/2K4R b - - 1 24,d6b4 h1h7 h8h7 f3h5,1362,76,80,170,endgame,https://lichess.org/vISgPkeR/black#47,,"['h1h7', 'h8h7', 'f3h5']","[0.015778755769133568, 1.0, 0.27566155791282654]","['f3h3', 'h8h7', 'f3h3']","[0.004032425116747618, 0.987457811832428, 0.008509739302098751]","['h1h7', 'h8h7', 'f3h5']","['f3f5', 'h7h6', 'h1h6']","[0.3263493478298187, 1.0, 0.8723675012588501]","[0.32370367646217346, 0.7964739799499512, 0.740504264831543]","['h1h7', 'h8h7', 'f3h5']","[0.3263493478298187, 1.0, 0.8723675012588501]",2rr3k/1p4pp/5p2/p7/Pq2P3/5Q2/1PP1B1P1/2K4R w - - 2 25
yNvcQ,r4rk1/1p2ppb1/3p2p1/3Rn2p/p3PB1P/5P2/PqP1Q1P1/1KN4R w - - 0 19,b1b2 e5c4 b2b1 c4a3,1535,76,98,341,middlegame,https://lichess.org/NLMGhc7K#36,,"['e5c4', 'b2b1', 'c4a3']","[0.09422843158245087, 1.0, 0.7525874376296997]","['e5c4', 'b2b1', 'c4a3']","[0.01427102368324995, 0.8667179942131042, 0.11901099234819412]","['e5c4', 'b2b1', 'c4a3']","['e5d3', 'b2b1', 'd3f4']","[0.582822322845459, 1.0, 0.8872745037078857]","[0.3335203230381012, 0.953224241733551, 0.8654272556304932]","['e5c4', 'b2b1', 'c4a3']","[0.582822322845459, 1.0, 0.8872745037078857]",r4rk1/1p2ppb1/3p2p1/3Rn2p/p3PB1P/5P1N/PKP1Q1P1/7R b - - 0 19
